CustomerID,first_name,middle_name,last_name,Birth_date,gender,Address,City,stateid,ZipCode,phone_number,email
1000,Robby,Stearne,Samples,1/23/1968,Male,1 International Plaza,Little Rock,AR,72204,501-758-0097,ssamples0@g.co
1001,Ariel,Naoma,Castellanos,7/13/1960,Female,01 Clyde Gallagher Junction,Oklahoma City,OK,73135,405-922-6234,ncastellanos1@slideshare.net
1002,Porty,Mahmoud,Callen,6/8/1985,Male,0 Miller Plaza,Modesto,CA,95354,209-119-6055,mcallen2@taobao.com
1003,Patten,Vasili,Heaslip,12/15/1960,Male,6 Messerschmidt Plaza,Huntsville,AL,35895,256-152-8430,vheaslip3@merriam-webster.com
1004,Eamon,Harmon,Rance,10/12/1960,Male,161 1st Road,Fort Worth,TX,76198,682-747-1804,hrance4@businessweek.com
1005,Rodrigo,Verge,Trembey,5/7/1969,Male,2 Summerview Avenue,Philadelphia,PA,19160,215-285-2975,vtrembey5@addtoany.com
1006,Ki,Isahella,Treby,2/1/1989,Female,8 Butternut Court,Muskegon,MI,49444,231-800-0306,itreby6@ca.gov
1007,Kennedy,Yanaton,Osbourne,10/22/1981,Male,59576 Becker Terrace,South Bend,IN,46620,574-336-2844,yosbourne7@i2i.jp
1008,Imogen,Veronike,Ibbitt,1/10/1950,Female,7 Pearson Place,Durham,NC,27710,919-379-0198,vibbitt8@independent.co.uk
1009,Lannie,Meade,Denyer,5/3/1976,Male,07044 Hallows Point,Frederick,MD,21705,240-998-0770,mdenyer9@yahoo.co.jp
1010,Marquita,Isis,Ranstead,1/20/1985,Female,3920 Dennis Pass,Shreveport,LA,71137,318-811-8282,iransteada@artisteer.com
1011,Palm,Wendel,Le Gallo,8/23/1974,Male,06324 Carioca Alley,Boca Raton,FL,33487,561-491-9651,wlegallob@cocolog-nifty.com
1012,Vinni,Orsa,Karpf,12/24/1974,Female,91 Hansons Road,Las Vegas,NV,89160,702-735-9214,okarpfc@printfriendly.com
1013,Brannon,Roi,Luesley,6/17/1989,Male,93342 Corben Road,Miami,FL,33175,305-851-9487,rluesleyd@w3.org
1014,Bellina,Leticia,Finley,1/21/1956,Female,4 Atwood Terrace,Dallas,TX,75372,214-747-5073,lfinleye@mysql.com
1015,Arty,Shannan,Pendrid,5/1/1957,Male,7 Erie Trail,Tallahassee,FL,32309,850-702-8286,spendridf@hugedomains.com
1016,Rodina,Sile,Le Barre,8/31/1962,Female,83 Pankratz Park,San Antonio,TX,78278,210-949-0073,slebarreg@utexas.edu
1017,Morry,Kristopher,Lindenberg,7/16/1989,Male,75 Bunting Way,Irvine,CA,92717,714-240-8727,klindenbergh@live.com
1018,Gabey,Flss,Dominik,3/25/1971,Female,32 Sherman Drive,Jamaica,NY,11480,718-797-2959,fdominiki@gizmodo.com
1019,Boyce,Denice,Portress,2/5/1952,Genderfluid,65 Trailsway Trail,Greensboro,NC,27404,336-976-2284,dportressj@google.com.hk
