EmployeeID,first_name,middle_name,last_name,Birtdate,gender,Address,City,StateID,PhoneNumber,Email,Hired_Date,PositionID
10000,Dave,Pryce,Joplin,9/26/1999,Male,9002 Anzinger Center,San Francisco,CA,415-632-6902,pjoplin0@apple.com,9/3/2022,4
10001,Tiphani,Andrea,Bowne,6/10/1990,Female,257 Northridge Pass,Miami,FL,786-123-6847,abowne1@bloglovin.com,4/24/2023,10
10002,Walden,Gilbert,Cuerdall,5/12/1996,Male,70 Basil Center,Pasadena,CA,818-279-9681,gcuerdall2@prnewswire.com,11/6/2022,6
10003,Dominik,Sigfrid,Dreinan,2/26/1990,Male,08222 Sullivan Hill,Petaluma,CA,707-348-6988,sdreinan3@delicious.com,7/2/2023,4
10004,Therine,Suzette,Duckinfield,1/8/1999,Female,9 Park Meadow Hill,Brooklyn,NY,718-782-7367,sduckinfield4@meetup.com,5/19/2023,6
10005,Regine,Reinhard,Leghorn,9/20/1987,Bigender,354 Spohn Alley,Littleton,CO,303-422-4023,rleghorn5@fastcompany.com,10/5/2022,4
10006,Catlaina,Marnia,Dymidowski,8/15/1981,Female,8 Bay Place,Trenton,NJ,609-747-0473,mdymidowski6@nbcnews.com,1/17/2022,7
10007,Jacquette,Kerrin,Dakin,4/19/2000,Female,76495 Forest Park,Jamaica,NY,212-738-4123,kdakin7@blogger.com,5/20/2022,10
10008,Tony,Savina,Tatlow,6/23/1988,Female,55059 Pleasure Drive,Indianapolis,IN,317-720-0391,statlow8@eepurl.com,2/20/2023,8
10009,Jennilee,Arlene,Elletson,10/13/1984,Female,14 Jackson Court,Virginia Beach,VA,757-236-6503,aelletson9@mac.com,2/6/2022,5
10010,Emalee,Trude,Gircke,1/19/1983,Female,0558 Warner Place,Lawrenceville,GA,404-640-9001,tgirckea@yahoo.co.jp,5/4/2023,10
10011,Bartholomeo,Evelyn,Stannion,7/22/1981,Male,6873 Gina Plaza,San Antonio,TX,210-612-0237,estannionb@twitter.com,3/29/2023,2
10012,Colver,Pierre,Joseland,8/7/1995,Male,32650 Norway Maple Avenue,Mountain View,CA,650-447-9522,pjoselandc@eepurl.com,5/19/2022,8
10013,Betteanne,Aveline,Thicking,6/18/1995,Female,19 Garrison Trail,Jamaica,NY,917-491-0275,athickingd@free.fr,7/10/2023,5
10014,Simona,Ediva,Robottom,11/22/1997,Female,78 Kim Point,Albany,NY,518-146-4205,erobottome@techcrunch.com,12/2/2022,7
10015,Lorenza,Cristabel,Fischer,8/7/1998,Female,82 Fisk Parkway,Rochester,NY,585-503-5125,cfischerf@google.co.uk,7/27/2022,7
10016,Dore,Buffy,Dubock,11/29/1990,Female,679 Browning Place,Denver,CO,719-198-1755,bdubockg@wufoo.com,7/29/2022,5
10017,Antonio,Kelsey,Banaszczyk,7/7/1985,Male,108 Pierstorff Park,New Orleans,LA,504-217-4456,kbanaszczykh@comsenz.com,8/28/2022,5
